,user_id,segment_RFM,recency,frequency,monetary,perks_RFM,segment_behavior,perks_behavior,rate_discount_trip,season_top,month_top
15,171470,new_customers,5,1,0.0,Welcome them with a special discount or promotion for their next purchase.,inactive fluid,Personalized travel recommendations and discounts to encourage booking.,hot opportunitst,spring,2
16,174997,loyal_customers,4,4,1038.4299999999998,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Intimate Escapade,Special rates on short stays.,hot opportunitst,spring,1
17,175032,about_to_sleep,3,2,2299.25,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Friend Explorer,Reduced rates for extended stays.,lukewarm opportunit,spring,1
18,181157,at_risk,2,4,340.6,Implement targeted re-engagement campaigns to remind them of your value proposition.,Friend Explorer,Reduced rates for extended stays.,hot opportunitst,spring,1
19,182191,lost,5,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,1
20,187212,cant_lose,1,5,2146.57,Provide exclusive offers or early access to new products/services to maintain their engagement.,Business expeditive,Partnership discounts for companies that book frequently.,lukewarm opportunit,spring,2
21,189676,about_to_sleep,3,1,3554.31,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Familly Adventure,"Packages with activities such as safaris, theme parks, and outdoor adventures.",lukewarm opportunit,spring,1
22,190866,at_risk,2,3,3577.0,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expeditive,Partnership discounts for companies that book frequently.,cold opportunist,autumn,1
23,195192,one timer,2,0,714.29,Implement an onboarding email series to introduce them to your products/services.,Friend Future Explorer,Reduced rates on trips for repeat bookings.,hot opportunitst,spring,1
24,204943,at_risk,1,4,4682.0,Implement targeted re-engagement campaigns to remind them of your value proposition.,Friend Explorer,Reduced rates for extended stays.,hot opportunitst,spring,2
25,204997,potential_loyalists,5,2,421.29,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Intimate Odysseus,"Packages with activities like wine tastings, city tours, and spa treatments.",hot opportunitst,summer,1
26,205044,potential_loyalists,4,3,7099.300000000001,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Familly Adventure,"Packages with activities such as safaris, theme parks, and outdoor adventures.",lukewarm opportunit,spring,1
27,206011,cant_lose,2,5,1552.9,Provide exclusive offers or early access to new products/services to maintain their engagement.,Business expeditive,Partnership discounts for companies that book frequently.,lukewarm opportunit,spring,1
28,216796,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,1
29,217114,lost,1,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,0
30,217136,hibernating,2,2,919.57,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,spring,1
31,220725,at_risk,1,3,2016.41,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expansive,Reduced rates for long-term hotel stays.,hot opportunitst,summer,1
32,224996,new_customers,5,1,862.38,Welcome them with a special discount or promotion for their next purchase.,Solo Casual Traveller,Short trip packages for popular destinations.,cold opportunist,spring,1
33,226367,hibernating,1,2,1421.03,Reach out with personalized win-back offers or discounts to encourage them to return.,Friend Relaxer,Discounts for bookings on short stays.,lukewarm opportunit,spring,2
34,228195,lost,4,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive fluid,Personalized travel recommendations and discounts to encourage booking.,lukewarm opportunit,spring,0
35,228872,hibernating,2,2,869.21,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Adventurer,"Packages with activities like hiking, diving, and cultural tours.",lukewarm opportunit,spring,1
36,229009,potential_loyalists,5,2,1535.63,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,spring,2
37,229108,lost,1,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,1
38,229330,about_to_sleep,3,2,5397.110000000001,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Friend Relaxer,Discounts for bookings on short stays.,cold opportunist,spring,1
39,232647,loyal_customers,3,4,0.0,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Business expansive,Reduced rates for long-term hotel stays.,lukewarm opportunit,spring,1
40,249521,promising,4,1,817.02,"Offer incentives for increasing their frequency of purchases, such as referral bonuses or points-based rewards.",Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,spring,1
41,252835,at_risk,1,3,2340.29,Implement targeted re-engagement campaigns to remind them of your value proposition.,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,autumn,1
42,258451,lost,4,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive fluid,Personalized travel recommendations and discounts to encourage booking.,hot opportunitst,spring,1
43,264470,at_risk,1,4,1970.97,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expansive,Reduced rates for long-term hotel stays.,lukewarm opportunit,spring,1
44,276512,one timer,2,0,495.69,Implement an onboarding email series to introduce them to your products/services.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
45,281952,promising,4,1,569.87,"Offer incentives for increasing their frequency of purchases, such as referral bonuses or points-based rewards.",Solo Casual Traveller,Short trip packages for popular destinations.,cold opportunist,spring,1
46,283325,promising,4,1,0.0,"Offer incentives for increasing their frequency of purchases, such as referral bonuses or points-based rewards.",Lambda Traveller,Last-Minute Deals,hot opportunitst,spring,1
47,290123,loyal_customers,4,5,9160.59,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Friend Relaxer,Discounts for bookings on short stays.,cold opportunist,autumn,2
48,297546,need_attention,3,3,3720.72,Provide targeted offers or personalized customer service interactions to address any issues and encourage further purchases.,Intimate Odysseus,"Packages with activities like wine tastings, city tours, and spa treatments.",cold opportunist,autumn,2
49,298253,lost,1,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
50,299476,one timer,1,0,263.38,Implement an onboarding email series to introduce them to your products/services.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
51,306165,lost,3,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive fluid,Personalized travel recommendations and discounts to encourage booking.,cold opportunist,spring,0
52,306819,potential_loyalists,5,2,420.16,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
53,312488,one timer,4,0,706.1,Implement an onboarding email series to introduce them to your products/services.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
54,313724,at_risk,1,3,2653.84,Implement targeted re-engagement campaigns to remind them of your value proposition.,Friend Explorer,Reduced rates for extended stays.,lukewarm opportunit,autumn,1
55,316527,at_risk,2,4,6898.84,Implement targeted re-engagement campaigns to remind them of your value proposition.,Familly Excursion,"Reduced rates for accommodation, meals, and activities.",lukewarm opportunit,spring,1
56,317688,hibernating,1,2,1813.99,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,summer,1
57,322867,one timer,3,0,1496.04,Implement an onboarding email series to introduce them to your products/services.,Solo Curious Adventurer,Discounts on long trips to adventurous destinations for repeat customers.,hot opportunitst,spring,1
58,324191,at_risk,2,4,1709.74,Implement targeted re-engagement campaigns to remind them of your value proposition.,Friend Explorer,Reduced rates for extended stays.,hot opportunitst,spring,1
59,328590,about_to_sleep,3,2,1222.92,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Friend Explorer,Reduced rates for extended stays.,hot opportunitst,spring,1
60,330764,at_risk,1,3,0.0,Implement targeted re-engagement campaigns to remind them of your value proposition.,Intimate Odysseus,"Packages with activities like wine tastings, city tours, and spa treatments.",lukewarm opportunit,spring,1
61,330893,about_to_sleep,3,1,1611.61,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Solo Casual Traveller,Short trip packages for popular destinations.,cold opportunist,summer,1
62,331039,lost,3,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,1
63,334787,cant_lose,1,5,971.72,Provide exclusive offers or early access to new products/services to maintain their engagement.,Business expeditive,Partnership discounts for companies that book frequently.,hot opportunitst,spring,2
64,337227,lost,3,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive fluid,Personalized travel recommendations and discounts to encourage booking.,lukewarm opportunit,spring,0
65,338086,hibernating,2,1,796.83,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,spring,1
66,340166,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
67,343928,about_to_sleep,3,1,789.22,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Intimate Escapade,Special rates on short stays.,hot opportunitst,spring,1
68,347778,loyal_customers,4,4,8345.35,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Friend Relaxer,Discounts for bookings on short stays.,hot opportunitst,autumn,2
69,348817,at_risk,2,3,3546.62,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expeditive,Partnership discounts for companies that book frequently.,lukewarm opportunit,spring,1
70,348863,lost,1,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,lukewarm opportunit,spring,0
71,349132,at_risk,1,4,2492.06,Implement targeted re-engagement campaigns to remind them of your value proposition.,Intimate Odysseus,"Packages with activities like wine tastings, city tours, and spa treatments.",cold opportunist,spring,1
72,350648,lost,3,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,1
73,353271,one timer,2,0,680.4,Implement an onboarding email series to introduce them to your products/services.,Familly Mousy Adventure,Free baggage.,hot opportunitst,spring,1
74,353694,hibernating,2,1,2095.37,Reach out with personalized win-back offers or discounts to encourage them to return.,Familly Adventure,"Packages with activities such as safaris, theme parks, and outdoor adventures.",hot opportunitst,spring,1
75,354050,loyal_customers,4,4,1877.7,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Friend Relaxer,Discounts for bookings on short stays.,lukewarm opportunit,summer,1
76,354260,cant_lose,2,5,960.85,Provide exclusive offers or early access to new products/services to maintain their engagement.,Business expeditive,Partnership discounts for companies that book frequently.,hot opportunitst,spring,1
77,354311,at_risk,1,4,884.15,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expeditive,Partnership discounts for companies that book frequently.,lukewarm opportunit,spring,1
78,354950,one timer,3,0,1222.54,Implement an onboarding email series to introduce them to your products/services.,Solo Curious Adventurer,Discounts on long trips to adventurous destinations for repeat customers.,lukewarm opportunit,spring,1
79,356046,loyal_customers,3,4,1488.81,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Friend Relaxer,Discounts for bookings on short stays.,lukewarm opportunit,spring,1
80,357737,potential_loyalists,4,3,1694.46,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Business expansive,Reduced rates for long-term hotel stays.,lukewarm opportunit,autumn,1
81,359072,at_risk,1,3,580.1500000000001,Implement targeted re-engagement campaigns to remind them of your value proposition.,Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,spring,1
82,359080,hibernating,1,2,2147.07,Reach out with personalized win-back offers or discounts to encourage them to return.,Intimate Escapade,Special rates on short stays.,lukewarm opportunit,spring,1
83,359653,at_risk,1,4,621.4100000000001,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expeditive,Partnership discounts for companies that book frequently.,hot opportunitst,spring,1
84,361459,one timer,2,0,558.9100000000001,Implement an onboarding email series to introduce them to your products/services.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
85,361759,at_risk,1,4,1280.19,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expeditive,Partnership discounts for companies that book frequently.,hot opportunitst,spring,1
86,363535,hibernating,1,1,606.87,Reach out with personalized win-back offers or discounts to encourage them to return.,Friend Relaxer,Discounts for bookings on short stays.,hot opportunitst,summer,1
87,365825,hibernating,1,1,1014.63,Reach out with personalized win-back offers or discounts to encourage them to return.,Hapax Traveller,Offer discounts or rewards for referring friends or family to book trips.,hot opportunitst,spring,1
88,371201,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
89,372970,promising,4,1,1701.3000000000002,"Offer incentives for increasing their frequency of purchases, such as referral bonuses or points-based rewards.",Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,spring,1
90,373489,lost,4,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Familly Mousy Adventure,Free baggage.,hot opportunitst,spring,1
91,374331,at_risk,2,3,0.0,Implement targeted re-engagement campaigns to remind them of your value proposition.,Hapax Traveller,Offer discounts or rewards for referring friends or family to book trips.,hot opportunitst,spring,1
92,374340,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Intimate Aluring Escapade,"Discounts on spa retreats, dinners.",lukewarm opportunit,spring,1
93,374341,hibernating,2,2,0.0,Reach out with personalized win-back offers or discounts to encourage them to return.,Lambda Traveller,Last-Minute Deals,lukewarm opportunit,summer,1
94,375160,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,0
95,375729,hibernating,2,2,265.75,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,spring,1
96,375751,hibernating,1,2,1400.35,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,cold opportunist,spring,1
97,376159,at_risk,2,3,679.24,Implement targeted re-engagement campaigns to remind them of your value proposition.,Solo Casual Traveller,Short trip packages for popular destinations.,cold opportunist,spring,1
98,377069,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,1
99,377411,loyal_customers,3,4,1773.54,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Friend Relaxer,Discounts for bookings on short stays.,hot opportunitst,spring,1
100,378565,at_risk,1,3,625.74,Implement targeted re-engagement campaigns to remind them of your value proposition.,Lambda Traveller,Last-Minute Deals,hot opportunitst,autumn,2
101,379543,hibernating,2,1,2690.12,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,summer,1
102,380434,hibernating,2,2,1334.61,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,spring,2
103,380436,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Solo Curious Adventurer,Discounts on long trips to adventurous destinations for repeat customers.,hot opportunitst,spring,1
104,380757,hibernating,2,1,1200.76,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Adventurer,"Packages with activities like hiking, diving, and cultural tours.",lukewarm opportunit,summer,1
105,380874,hibernating,1,2,0.0,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,spring,1
106,380949,at_risk,1,3,2805.99,Implement targeted re-engagement campaigns to remind them of your value proposition.,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,autumn,1
107,381259,one timer,1,0,787.48,Implement an onboarding email series to introduce them to your products/services.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,lukewarm opportunit,spring,1
108,381465,potential_loyalists,4,3,490.87,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Business expansive,Reduced rates for long-term hotel stays.,hot opportunitst,summer,1
109,382181,hibernating,1,1,2016.32,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,spring,2
110,382384,one timer,1,0,540.63,Implement an onboarding email series to introduce them to your products/services.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,cold opportunist,spring,1
111,382533,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,0
112,385689,at_risk,1,3,1564.64,Implement targeted re-engagement campaigns to remind them of your value proposition.,Familly Adventure,"Packages with activities such as safaris, theme parks, and outdoor adventures.",hot opportunitst,summer,1
113,386255,lost,3,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Hapax Traveller,Offer discounts or rewards for referring friends or family to book trips.,hot opportunitst,spring,1
114,386469,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,lukewarm opportunit,spring,0
115,386914,hibernating,1,1,0.0,Reach out with personalized win-back offers or discounts to encourage them to return.,Familly Mousy Adventure,Free baggage.,hot opportunitst,spring,1
116,387282,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Hapax Traveller,Offer discounts or rewards for referring friends or family to book trips.,hot opportunitst,spring,1
117,387783,cant_lose,2,5,729.26,Provide exclusive offers or early access to new products/services to maintain their engagement.,Lambda Traveller,Last-Minute Deals,lukewarm opportunit,spring,2
118,388328,at_risk,1,4,1564.98,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expansive,Reduced rates for long-term hotel stays.,hot opportunitst,spring,2
119,388767,one timer,1,0,2262.34,Implement an onboarding email series to introduce them to your products/services.,Solo Curious Adventurer,Discounts on long trips to adventurous destinations for repeat customers.,cold opportunist,spring,1
120,388947,cant_lose,2,5,1269.0800000000002,Provide exclusive offers or early access to new products/services to maintain their engagement.,Business expeditive,Partnership discounts for companies that book frequently.,hot opportunitst,spring,1
121,389434,loyal_customers,3,5,2444.7200000000003,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Business expeditive,Partnership discounts for companies that book frequently.,hot opportunitst,spring,2
122,389662,at_risk,1,4,460.01,Implement targeted re-engagement campaigns to remind them of your value proposition.,Business expeditive,Partnership discounts for companies that book frequently.,hot opportunitst,spring,1
123,389759,need_attention,3,3,4689.1,Provide targeted offers or personalized customer service interactions to address any issues and encourage further purchases.,Familly Excursion,"Reduced rates for accommodation, meals, and activities.",hot opportunitst,spring,2
124,390811,about_to_sleep,3,1,2486.02,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Solo Adventurer,"Packages with activities like hiking, diving, and cultural tours.",lukewarm opportunit,spring,2
125,392453,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Solo Curious Adventurer,Discounts on long trips to adventurous destinations for repeat customers.,hot opportunitst,spring,1
126,395202,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Solo Curious Adventurer,Discounts on long trips to adventurous destinations for repeat customers.,lukewarm opportunit,spring,1
127,395981,potential_loyalists,4,3,1502.81,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Friend Relaxer,Discounts for bookings on short stays.,lukewarm opportunit,spring,1
128,396552,cant_lose,2,5,1523.85,Provide exclusive offers or early access to new products/services to maintain their engagement.,Business expeditive,Partnership discounts for companies that book frequently.,cold opportunist,spring,2
129,399137,champions,5,5,1539.47,Encourage them to become brand advocates by offering referral bonuses or social media shoutouts.,Lambda Traveller,Last-Minute Deals,hot opportunitst,spring,2
130,399218,cant_lose,2,5,315.4,Provide exclusive offers or early access to new products/services to maintain their engagement.,Business expeditive,Partnership discounts for companies that book frequently.,lukewarm opportunit,spring,1
131,399799,potential_loyalists,4,2,2106.2,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Solo Casual Traveller,Short trip packages for popular destinations.,cold opportunist,summer,1
132,400275,hibernating,1,1,0.0,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Adventurer,"Packages with activities like hiking, diving, and cultural tours.",hot opportunitst,spring,1
133,400582,at_risk,2,3,1302.57,Implement targeted re-engagement campaigns to remind them of your value proposition.,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,summer,2
134,400899,need_attention,3,3,3322.01,Provide targeted offers or personalized customer service interactions to address any issues and encourage further purchases.,Friend Explorer,Reduced rates for extended stays.,cold opportunist,spring,1
135,401245,cant_lose,1,5,658.14,Provide exclusive offers or early access to new products/services to maintain their engagement.,Business expeditive,Partnership discounts for companies that book frequently.,hot opportunitst,spring,2
136,402332,about_to_sleep,3,1,0.0,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Friend Relaxer,Discounts for bookings on short stays.,hot opportunitst,spring,1
137,402978,at_risk,1,3,2625.55,Implement targeted re-engagement campaigns to remind them of your value proposition.,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,summer,1
138,403881,potential_loyalists,4,3,4945.67,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Friend Relaxer,Discounts for bookings on short stays.,hot opportunitst,summer,1
139,404879,at_risk,1,3,5882.85,Implement targeted re-engagement campaigns to remind them of your value proposition.,Friend Explorer,Reduced rates for extended stays.,cold opportunist,summer,1
140,405305,potential_loyalists,4,2,3036.6,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Familly Excursion,"Reduced rates for accommodation, meals, and activities.",hot opportunitst,summer,1
141,406210,champions,5,5,2980.8100000000004,Encourage them to become brand advocates by offering referral bonuses or social media shoutouts.,Business expansive,Reduced rates for long-term hotel stays.,hot opportunitst,spring,1
142,407118,hibernating,2,1,2350.02,Reach out with personalized win-back offers or discounts to encourage them to return.,Intimate Odysseus,"Packages with activities like wine tastings, city tours, and spa treatments.",lukewarm opportunit,spring,3
143,407250,hibernating,1,2,2498.34,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,summer,2
144,407275,at_risk,1,3,3381.82,Implement targeted re-engagement campaigns to remind them of your value proposition.,Solo Adventurer,"Packages with activities like hiking, diving, and cultural tours.",lukewarm opportunit,summer,1
145,407434,lost,1,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Hapax Traveller,Offer discounts or rewards for referring friends or family to book trips.,hot opportunitst,spring,1
146,407642,about_to_sleep,3,1,1437.77,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,spring,1
147,408551,hibernating,1,1,1723.39,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,hot opportunitst,spring,1
148,409073,potential_loyalists,5,3,2381.56,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Business expeditive,Partnership discounts for companies that book frequently.,cold opportunist,spring,2
149,411179,champions,5,5,0.0,Encourage them to become brand advocates by offering referral bonuses or social media shoutouts.,Lambda Traveller,Last-Minute Deals,hot opportunitst,spring,2
150,411701,about_to_sleep,3,2,724.27,Offer loyalty rewards or VIP programs to further incentivize their frequent purchases. ,Solo Casual Traveller,Short trip packages for popular destinations.,lukewarm opportunit,spring,1
151,413128,at_risk,1,3,517.19,Implement targeted re-engagement campaigns to remind them of your value proposition.,Intimate Odysseus,"Packages with activities like wine tastings, city tours, and spa treatments.",hot opportunitst,autumn,1
152,413340,hibernating,1,2,1320.29,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Adventurer,"Packages with activities like hiking, diving, and cultural tours.",cold opportunist,summer,1
